File: ferro-gw
Build ID: 03685a972842b301917b73b757b68b086fefc884
Type: cpu
Time: 2026-03-26 04:41:12 UTC
Duration: 30.15s, Total samples = 9.90s (32.83%)
Showing nodes accounting for 7.35s, 74.24% of 9.90s total
Dropped 432 nodes (cum <= 0.05s)
      flat  flat%   sum%        cum   cum%
         0     0% 74.24%      0.20s  2.02%  encoding/json.(*Encoder).Encode
         0     0% 74.24%      0.82s  8.28%  encoding/json.(*decodeState).unmarshal
         0     0% 74.24%      0.34s  3.43%  encoding/json.(*encodeState).marshal
         0     0% 74.24%      0.34s  3.43%  encoding/json.(*encodeState).reflectValue
         0     0% 74.24%      0.30s  3.03%  encoding/json.Marshal
         0     0% 74.24%      0.11s  1.11%  encoding/json.Unmarshal
         0     0% 74.24%      0.13s  1.31%  encoding/json.ptrEncoder.encode
         0     0% 74.24%      2.83s 28.59%  github.com/ferro-labs/ai-gateway/internal/logging.Middleware.func1
         0     0% 74.24%      0.07s  0.71%  github.com/ferro-labs/ai-gateway/internal/logging.NewTraceID
         0     0% 74.24%      1.24s 12.53%  github.com/ferro-labs/ai-gateway/internal/strategies.(*Single).Execute
         0     0% 74.24%      0.17s  1.72%  github.com/ferro-labs/ai-gateway/providers/core.Message.MarshalJSON
         0     0% 74.24%      1.23s 12.42%  github.com/ferro-labs/ai-gateway/providers/openai.(*Provider).Complete
         0     0% 74.24%      2.65s 26.77%  github.com/go-chi/chi/v5.(*Mux).routeHTTP
         0     0% 74.24%      0.38s  3.84%  github.com/go-chi/chi/v5.(*node).FindRoute
         0     0% 74.24%      2.71s 27.37%  github.com/go-chi/chi/v5/middleware.RealIP.func1
         0     0% 74.24%      2.71s 27.37%  github.com/go-chi/chi/v5/middleware.Recoverer.func1
         0     0% 74.24%      0.07s  0.71%  github.com/prometheus/client_golang/prometheus.(*GaugeVec).GetMetricWithLabelValues (inline)
         0     0% 74.24%      0.07s  0.71%  github.com/prometheus/client_golang/prometheus.(*GaugeVec).WithLabelValues
         0     0% 74.24%      0.09s  0.91%  github.com/prometheus/client_golang/prometheus.(*MetricVec).GetMetricWithLabelValues
         0     0% 74.24%      0.07s  0.71%  internal/poll.(*FD).Init
         0     0% 74.24%      0.07s  0.71%  internal/poll.(*FD).SetReadDeadline (inline)
         0     0% 74.24%      0.30s  3.03%  internal/poll.(*FD).SetsockoptInt
         0     0% 74.24%      0.62s  6.26%  internal/poll.(*FD).decref
         0     0% 74.24%      0.61s  6.16%  internal/poll.(*FD).destroy
         0     0% 74.24%      0.57s  5.76%  internal/poll.(*SysFile).destroy (inline)
         0     0% 74.24%      0.07s  0.71%  internal/poll.(*pollDesc).init
         0     0% 74.24%      0.08s  0.81%  internal/poll.(*pollDesc).waitRead (inline)
         0     0% 74.24%      1.64s 16.57%  internal/poll.ignoringEINTRIO (inline)
         0     0% 74.24%      0.07s  0.71%  internal/poll.runtime_pollOpen
         0     0% 74.24%      0.07s  0.71%  internal/poll.setDeadlineImpl
         0     0% 74.24%      0.10s  1.01%  internal/runtime/syscall.EpollCtl (inline)
         0     0% 74.24%      0.06s  0.61%  main.(*serverConnTracker).ConnContext
         0     0% 74.24%      0.18s  1.82%  main.(*serverConnTracker).ConnState
         0     0% 74.24%      0.61s  6.16%  main.decodeChatCompletionRequest
         0     0% 74.24%      0.06s  0.61%  main.decrementConnectionGauge
         0     0% 74.24%      1.36s 13.74%  main.main
         0     0% 74.24%      0.17s  1.72%  net.(*TCPAddr).String
         0     0% 74.24%      0.24s  2.42%  net.(*TCPConn).SetKeepAliveConfig
         0     0% 74.24%      1.15s 11.62%  net.(*TCPListener).Accept
         0     0% 74.24%      1.15s 11.62%  net.(*TCPListener).accept
         0     0% 74.24%      0.07s  0.71%  net.(*conn).SetReadDeadline
         0     0% 74.24%      1.18s 11.92%  net.(*conn).Write
         0     0% 74.24%      0.65s  6.57%  net.(*netFD).Close
         0     0% 74.24%      0.60s  6.06%  net.(*netFD).Read
         0     0% 74.24%      0.07s  0.71%  net.(*netFD).SetReadDeadline (inline)
         0     0% 74.24%      1.18s 11.92%  net.(*netFD).Write
         0     0% 74.24%      0.07s  0.71%  net.(*netFD).init (inline)
         0     0% 74.24%      0.34s  3.43%  net.newTCPConn
         0     0% 74.24%      0.06s  0.61%  net.setKeepAliveCount
         0     0% 74.24%      0.06s  0.61%  net.setKeepAliveIdle
         0     0% 74.24%      0.43s  4.34%  net/http.(*Client).Do (inline)
         0     0% 74.24%      0.13s  1.31%  net/http.(*Request).write
         0     0% 74.24%      1.36s 13.74%  net/http.(*Server).ListenAndServe
         0     0% 74.24%      0.39s  3.94%  net/http.(*Transport).RoundTrip
         0     0% 74.24%      0.09s  0.91%  net/http.(*Transport).getConn
         0     0% 74.24%      0.05s  0.51%  net/http.(*Transport).queueForIdleConn
         0     0% 74.24%      0.07s  0.71%  net/http.(*body).Read
         0     0% 74.24%      0.07s  0.71%  net/http.(*body).readLocked
         0     0% 74.24%      0.14s  1.41%  net/http.(*chunkWriter).Write
         0     0% 74.24%      0.68s  6.87%  net/http.(*conn).close
         0     0% 74.24%      0.52s  5.25%  net/http.(*conn).readRequest
         0     0% 74.24%      0.74s  7.47%  net/http.(*conn).serve.func1
         0     0% 74.24%      0.39s  3.94%  net/http.(*connReader).Read
         0     0% 74.24%      0.10s  1.01%  net/http.(*connReader).backgroundRead
         0     0% 74.24%      0.07s  0.71%  net/http.(*connReader).startBackgroundRead
